epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7719,1.6016,1.86798,1.30691,0.59654,0.59097,0.57759,0.37173,1.341,1.59277,1.10689,0.00066087,0.00066087,0.00066087
2,53.5231,1.3602,1.10309,1.1606,0.73009,0.66407,0.72947,0.47341,1.30758,1.22612,1.14249,0.00130125,0.00130125,0.00130125
3,77.8169,1.33042,1.03437,1.14998,0.83408,0.71854,0.8243,0.5161,1.34287,1.05211,1.15862,0.00191523,0.00191523,0.00191523
4,101.931,1.29567,0.92675,1.1213,0.8328,0.74792,0.855,0.58138,1.27821,0.94049,1.09928,0.0018812,0.0018812,0.0018812
5,125.962,1.24435,0.85745,1.10603,0.85099,0.80666,0.88897,0.62109,1.18077,0.80312,1.07339,0.0018416,0.0018416,0.0018416
6,147.421,1.21198,0.81147,1.09814,0.86372,0.81969,0.90045,0.62721,1.12535,0.76278,1.06194,0.001802,0.001802,0.001802
7,169.581,1.18227,0.78826,1.07831,0.86865,0.79132,0.8828,0.62456,1.16017,0.7795,1.06706,0.0017624,0.0017624,0.0017624
8,191.792,1.15245,0.75785,1.06884,0.88145,0.82799,0.90084,0.62286,1.24143,0.75208,1.07419,0.0017228,0.0017228,0.0017228
9,213.816,1.14458,0.72846,1.04946,0.90825,0.84626,0.92804,0.66478,1.09408,0.69392,1.033,0.0016832,0.0016832,0.0016832
10,234.96,1.1066,0.69273,1.03735,0.88122,0.81634,0.8988,0.64448,1.12297,0.79167,1.0569,0.0016436,0.0016436,0.0016436
11,257.104,1.11107,0.70148,1.03253,0.8969,0.88479,0.94074,0.68417,1.04492,0.65067,1.00417,0.001604,0.001604,0.001604
12,277.276,1.09754,0.69627,1.03192,0.87376,0.87374,0.9301,0.6791,1.04923,0.68226,1.00398,0.0015644,0.0015644,0.0015644
13,297.588,1.07071,0.6723,1.02281,0.91658,0.86707,0.94092,0.68992,1.04995,0.65334,1.01065,0.0015248,0.0015248,0.0015248
14,317.949,1.08646,0.67205,1.02616,0.90298,0.84871,0.93105,0.66824,1.06022,0.70373,1.01128,0.0014852,0.0014852,0.0014852
