epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0227,1.80312,1.94334,1.45971,0.73287,0.61903,0.68665,0.38605,1.60707,1.59364,1.30678,0.000396522,0.000396522,0.000396522
2,64.9303,1.54754,1.09955,1.28868,0.5223,0.57212,0.45169,0.25439,1.58154,1.48234,1.35847,0.000788564,0.000788564,0.000788564
3,94.4711,1.58971,1.11097,1.31688,0.55979,0.54011,0.55451,0.33384,1.66671,1.49661,1.37001,0.00117262,0.00117262,0.00117262
4,122.329,1.52866,1.02295,1.27898,0.60035,0.669,0.67595,0.36269,1.61566,1.39647,1.3242,0.00154867,0.00154867,0.00154867
5,150.562,1.54015,1.05579,1.30008,0.72576,0.55327,0.67635,0.34327,1.82657,1.32961,1.45822,0.00191674,0.00191674,0.00191674
6,179.169,1.50408,0.99911,1.28521,0.80672,0.7466,0.82118,0.40257,1.84115,1.20302,1.45396,0.0019001,0.0019001,0.0019001
7,207.846,1.49359,0.95997,1.26114,0.82169,0.71515,0.81945,0.48918,1.4449,0.95803,1.25369,0.00188012,0.00188012,0.00188012
8,237.329,1.44579,0.93402,1.25403,0.8031,0.77069,0.82929,0.45272,1.58053,0.95295,1.32349,0.00186014,0.00186014,0.00186014
9,266.038,1.40476,0.87751,1.21625,0.73177,0.6566,0.71023,0.41782,1.58266,1.43494,1.314,0.00184016,0.00184016,0.00184016
10,294.975,1.39417,0.87144,1.21351,0.83269,0.78957,0.86856,0.51398,1.47222,0.87069,1.25282,0.00182018,0.00182018,0.00182018
11,323.635,1.38104,0.85509,1.19244,0.84008,0.84752,0.8952,0.55741,1.36424,0.78722,1.1964,0.0018002,0.0018002,0.0018002
12,352.607,1.36966,0.84793,1.19229,0.81525,0.76238,0.82778,0.46833,1.64524,0.92047,1.3357,0.00178022,0.00178022,0.00178022
13,381.082,1.34378,0.82543,1.18576,0.83019,0.77641,0.85582,0.48513,1.58158,0.88789,1.27574,0.00176024,0.00176024,0.00176024
14,409.251,1.32472,0.80753,1.18237,0.79997,0.75391,0.83656,0.4975,1.42334,0.9544,1.21707,0.00174026,0.00174026,0.00174026
15,436.653,1.31709,0.78803,1.1748,0.85743,0.82523,0.89823,0.52695,1.45197,0.79507,1.2234,0.00172028,0.00172028,0.00172028
16,464.404,1.30101,0.7846,1.16543,0.87605,0.83384,0.90719,0.56652,1.34474,0.77472,1.16916,0.0017003,0.0017003,0.0017003
17,491.864,1.28858,0.77573,1.15367,0.89403,0.83964,0.91636,0.57571,1.33862,0.7363,1.17461,0.00168032,0.00168032,0.00168032
18,519.022,1.27768,0.76796,1.14257,0.8764,0.81982,0.90542,0.59487,1.2712,0.76447,1.14733,0.00166034,0.00166034,0.00166034
19,547.662,1.27044,0.74893,1.14938,0.90337,0.86629,0.92979,0.56642,1.39038,0.70785,1.17633,0.00164036,0.00164036,0.00164036
20,576.93,1.26043,0.73409,1.14578,0.87982,0.83735,0.91497,0.52006,1.6083,0.7782,1.28553,0.00162038,0.00162038,0.00162038
21,606.479,1.24667,0.72585,1.13202,0.90541,0.83925,0.91446,0.52487,1.53758,0.79723,1.24344,0.0016004,0.0016004,0.0016004
22,635.467,1.23697,0.71713,1.12661,0.90555,0.87505,0.93173,0.6041,1.30243,0.70064,1.142,0.00158042,0.00158042,0.00158042
23,664.353,1.22072,0.70636,1.115,0.91585,0.87944,0.94206,0.60451,1.30092,0.65044,1.13834,0.00156044,0.00156044,0.00156044
24,692.85,1.20881,0.687,1.1069,0.92484,0.84688,0.92665,0.59363,1.27119,0.67571,1.13213,0.00154046,0.00154046,0.00154046
